artifact_id,truckFactor,criticality_score
org.jibx.schema.org.opentravel._2011B:org.jibx.schema.org.opentravel._2011B.base,1,-1
javax.xml.bind:jaxb-api,1,-1
io.circe:circe-core_2.12,1,-1
javax.cache:cache-api,1,-1
org.twitter4j:twitter4j-core,1,-1
org.webjars.bower:jquery,1,0.43804
javax.servlet.jsp:javax.servlet.jsp-api,1,-1
org.easytesting:fest-util,1,-1
org.webjars:jquery,1,-1
org.javassist:javassist,1,0.5158
org.st-js.bridge:html,1,-1
org.specs2:specs2_2.9.1-1,1,0.59061
org.mvel:mvel2,1,0.51765
com.lihaoyi:utest_2.12,1,-1
cglib:cglib,1,0.54783
com.fasterxml.jackson.core:jackson-annotations,1,0.54739
org.scala-js:scalajs-test-interface_2.11,1,0.6856
org.scalacheck:scalacheck_2.11,1,0.58207
org.easymock:easymock,1,0.59767
org.mockito:mockito-all,1,0.7146
dom4j:dom4j,1,0.44582
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,1,0.56814
org.jboss.marshalling:jboss-marshalling,1,-1
net.spy:spymemcached,1,-1
com.thesett:common,1,-1
org.jibx.schema.ws:org.jibx.schema.ws.utilities,1,-1
org.jboss.logmanager:jboss-logmanager,1,-1
com.github.tomakehurst:wiremock,1,-1
com.amazonaws:aws-java-sdk,1,0.76798
org.apache.httpcomponents:httpclient,1,0.5855
org.scala-js:scalajs-library_2.12,1,0.6856
org.apache.httpcomponents:httpcore,1,0.57629
cglib:cglib-nodep,1,0.54783
com.squareup.okio:okio,1,0.67454
ognl:ognl,1,-1
org.scalameta:scalameta_2.12,1,0.69984
org.scalacheck:scalacheck_2.12,1,0.58207
com.github.ben-manes.caffeine:caffeine,1,0.67646
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,1,0.57836
org.mozilla:rhino,1,0.61202
org.glassfish:javax.json,1,0.45631
org.xerial.snappy:snappy-java,1,0.61708
com.lihaoyi:utest_2.11,1,-1
com.codahale.metrics:metrics-core,1,0.49122
com.android.tools.build:gradle,1,-1
org.jmock:jmock,1,0.49545
org.testng:testng,1,-1
org.webjars.npm:lodash,1,-1
org.slf4j:slf4j-api,1,0.72611
commons-codec:commons-codec,1,0.66983
org.specs2:specs2-common_2.12,1,0.59061
org.codehaus.fabric3:fabric3-spi,1,-1
org.jacoco:org.jacoco.agent,1,-1
org.pegdown:pegdown,1,0.39199
org.webjars.npm:js-tokens,1,0.55633
org.joda:joda-convert,1,0.32117
com.nimbusds:nimbus-jose-jwt,1,-1
com.eclipsesource.minimal-json:minimal-json,1,0.4271
org.webjars.npm:chalk,1,0.66825
com.openpojo:openpojo,1,-1
org.scala-js:scalajs-test-interface_2.10,1,0.6856
org.ops4j.pax.exam:pax-exam-link-mvn,1,0.47901
org.webjars.npm:object-assign,1,0.58193
org.jboss:jboss-common-core,1,-1
joda-time:joda-time,1,0.51105
org.scalacheck:scalacheck_2.10,1,0.58207
com.amazonaws:aws-java-sdk-test-utils,1,0.76798
org.mockito:mockito-core,1,0.7146
com.google.code.findbugs:annotations,1,0.4854
com.fasterxml.jackson.core:jackson-databind,1,0.70631
com.fasterxml.jackson.core:jackson-core,1,0.64524
org.apache-extras.beanshell:bsh,1,0.5256
org.lwjgl:lwjgl,1,0.5445
com.lihaoyi:utest_2.10,1,-1
org.webjars.npm:fbjs,1,0.66986
org.thymeleaf:thymeleaf,1,0.51765
org.typelevel:machinist_2.12,1,0.37576
org.webjars.npm:moment,1,0.75353
javax.servlet:javax.servlet-api,2,0.50892
org.apache.ant:ant,2,-1
org.scala-lang.modules:scala-java8-compat_2.11,2,0.57598
io.dropwizard.metrics:metrics-core,2,0.75908
org.ow2.asm:asm-util,2,-1
org.jdom:jdom2,2,0.39597
org.json4s:json4s-core_2.11,2,0.64795
mysql:mysql-connector-java,2,0.59106
com.parse.bolts:bolts-tasks,2,0.38985
net.java.dev.jna:jna,2,0.65589
org.eclipse.jetty:jetty-servlet,2,-1
com.typesafe.scala-logging:scala-logging_2.11,2,-1
org.eclipse.jetty:jetty-security,2,-1
org.apache.maven.wagon:wagon-provider-api,2,-1
org.powermock:powermock-api-mockito-common,2,0.52549
org.scalactic:scalactic_2.10,2,0.64796
org.scalatest:scalatest_sjs0.6_2.12,2,0.64796
org.powermock:powermock-api-easymock,2,0.52549
org.webjars.npm:readable-stream,2,0.67253
org.springframework.boot:spring-boot-starter,2,0.869
com.github.spotbugs:spotbugs-annotations,2,0.66669
net.minidev:accessors-smart,2,0.58313
io.vertx:vertx-core,2,-1
org.clojure:test.check,2,0.47128
biz.aQute:bndlib,2,0.63667
org.jboss.shrinkwrap:shrinkwrap-spi,2,0.58147
com.lmax:disruptor,2,0.50175
org.apache.ant:ant-launcher,2,-1
com.github.javaparser:javaparser-core,2,0.68686
org.projectlombok:lombok,2,-1
org.eclipse.jetty:jetty-server,2,-1
com.amazonaws:aws-android-sdk-core,2,-1
org.junit.jupiter:junit-jupiter-engine,2,0.75231
com.squareup.okhttp3:okhttp,2,0.73412
org.springframework.boot:spring-boot-configuration-processor,2,0.869
org.webjars.npm:tslib,2,-1
org.eclipse.jetty:jetty-servlets,2,-1
org.jboss.shrinkwrap:shrinkwrap-api,2,0.58147
redis.clients:jedis,2,-1
org.jruby:jruby-complete,2,0.6764
io.reactivex:rxjava,2,0.6316
io.projectreactor:reactor-core,2,0.74434
com.thoughtworks.xstream:xstream,2,0.56387
org.ow2.asm:asm-commons,2,-1
org.scoverage:scalac-scoverage-runtime_2.11,2,0.494
org.webjars.bowergithub.polymerelements:iron-flex-layout,2,0.38928
io.micrometer:micrometer-core,2,0.71961
com.esotericsoftware:kryo,2,-1
org.eclipse.jetty:jetty-io,2,-1
org.eclipse.xtend:org.eclipse.xtend.lib,2,-1
org.jboss.shrinkwrap:shrinkwrap-impl-base,2,0.58147
org.junit.platform:junit-platform-commons,2,0.75231
io.netty:netty-all,2,0.82638
org.apache.jmeter:jorphan,2,0.56527
org.junit.platform:junit-platform-engine,2,0.75231
org.powermock:powermock-module-junit4-common,2,0.52549
org.ow2.asm:asm-test,2,-1
org.mongodb:mongo-java-driver,2,0.67029
org.xwiki.commons:xwiki-commons-component-api,2,0.59027
org.springframework.boot:spring-boot-starter-test,2,0.869
org.springframework.amqp:spring-amqp,2,0.62647
org.eclipse.jetty:jetty-client,2,-1
org.junit.jupiter:junit-jupiter,2,0.75231
org.scalatest:scalatest_2.10,2,0.64796
org.scalactic:scalactic_2.12,2,0.64796
org.scalatest:scalatest_2.11,2,0.64796
org.springframework.data:spring-data-commons,2,0.65477
net.liftweb:lift-json_2.10,2,0.59867
com.novocode:junit-interface,2,-1
net.java.dev.jna:jna-platform,2,0.65589
com.squareup.okhttp3:logging-interceptor,2,0.73412
org.springframework.amqp:spring-rabbit,2,0.62647
org.springframework.boot:spring-boot,2,0.869
org.junit.vintage:junit-vintage-engine,2,0.75231
org.hamcrest:hamcrest-core,2,0.54761
org.hamcrest:hamcrest,2,0.54761
org.hamcrest:hamcrest-library,2,0.54761
com.thoughtworks.paranamer:paranamer,2,0.47913
com.typesafe.play:play-json_2.12,2,0.58886
javax.xml.ws:jaxws-api,2,-1
com.alibaba:druid,2,0.6492
com.squareup.okhttp3:okhttp-testing-support,2,0.73412
com.rabbitmq:amqp-client,2,0.60293
org.eclipse.jetty:jetty-continuation,2,-1
org.springframework.boot:spring-boot-starter-web,2,0.869
org.codehaus.jettison:jettison,2,-1
com.squareup.okhttp3:mockwebserver,2,0.73412
org.eclipse.xtend:org.eclipse.xtend.lib.macro,2,-1
org.jruby:jruby,2,0.6764
org.ow2.asm:asm-analysis,2,-1
org.hibernate:hibernate-core,2,0.76085
